topic,problem_statement,solution,correct option
Operation of mechanisms,"Jake is trying to fix an old clock. The clock is designed with three gears that interlock. Gear A has 8 teeth and rotates clockwise. Gear B has 10 teeth and interlocks with Gear A, which means it rotates counter-clockwise. Gear C has 6 teeth and interlocks with Gear B. If Jake starts turning Gear A, after how many full rotations of Gear A will all gears return to their original starting positions?","1. Let n be the number of full rotations of Gear A.  
2. Gear A (8 teeth) driving Gear B (10 teeth): every 1 rotation of A makes B rotate \(-\tfrac{8}{10}=-\tfrac{4}{5}\) rotations (negative sign = opposite direction).  
   After n rotations of A, B has done \(-\tfrac{4}{5}n\) rotations. For B to return to its original orientation, \(-\tfrac{4}{5}n\) must be an integer ⇒ 4n must be divisible by 5 ⇒ n is a multiple of 5.  
3. Gear B driving Gear C (6 teeth): every 1 rotation of B makes C rotate \(-\tfrac{10}{6}=-\tfrac{5}{3}\) rotations. So after n rotations of A, C has done  
   \(-\tfrac{4}{5}n)·(-\tfrac{5}{3}) = +\tfrac{4}{3}n\) rotations. For C to return to its original orientation, \(\tfrac{4}{3}n\) must be an integer ⇒ 4n divisible by 3 ⇒ n is a multiple of 3.  
4. Therefore n must be a common multiple of 5 and 3 ⇒ the least positive n = lcm(5,3) = 15.  

Gear A must be turned 15 full rotations before all three gears (A, B, and C) align back to their starting orientations.

None of options 1–4 is 15, so:

CORRECT ANSWER: 5",5
Spatial reasoning,You have been given a challenge to fit a number of 1x1x1 cubes into a larger cube container without any overlap or empty space. The larger cube container has a side length of 4 units. What is the minimum number of 1x1x1 cubes needed to fit entirely within the larger cube without any empty space remaining?,"Step-by-Step Reasoning:

1. The larger cube has side length 4 units.  
2. Its volume is 4 × 4 × 4 = 64 cubic units.  
3. Each small cube is 1 × 1 × 1, so its volume is 1 cubic unit.  
4. To fill the larger cube completely (with no empty space and no overlap), the total volume of the small cubes must equal 64 cubic units.  
5. Since each small cube is 1 cubic unit, you need 64 of them to reach a total volume of 64.

Therefore, the minimum number of 1×1×1 cubes needed is 64, which corresponds to option 1.

CORRECT ANSWER: 1",1
Optimization of actions and planning,"You are a librarian tasked with organizing a set of 5 books on a single shelf. Every day you need to pull one book from the shelf to reference, but the order they are pulled is unknown. You can arrange the books however you like initially. To save time in the long run, you devise a system where after using a book, you place it back on the far right side of the shelf. Given that the books have equal probability of being chosen each day, which arrangement would minimize the average time spent searching for the books over a period of 100 days?","Here’s the reasoning in steps:

1. Model  
   - We have 5 books in a list.  
   - Each day, one of the 5 is chosen uniformly at random.  
   - After use, the chosen book is moved to the far right end (position 5), and the others shift left as needed.  

2. Long‐run (stationary) behavior  
   - Because each book has equal probability 1/5 of being requested, there is complete symmetry among the books.  
   - Under the “move‐to‐back” rule, no book has a systematically higher chance of occupying an earlier or later position in the long run.  
   - The process is irreducible and aperiodic on the finite state space of all orderings, so it converges to a unique stationary distribution.  

3. Stationary distribution  
   - By symmetry, in the steady state every permutation of the 5 books is equally likely.  
   - Thus the expected position of the requested book on any given day is the average of {1,2,3,4,5}, namely (1+2+3+4+5)/5 = 3.  

4. Independence from initial arrangement  
   - After a “mixing” period (on the order of a few dozen days for n=5), the arrangement ‘forgets’ the start.  
   - Over a 100‐day horizon, essentially the same average search time is achieved regardless of how you begin the ordering.  

5. Conclusion  
   - No particular fixed initial order (alphabetical, size‐order, etc.) confers any long‐run advantage.  
   - Therefore the best you can say is that the choice of initial arrangement doesn’t matter.  

CORRECT ANSWER: 4",4
Sequence solving,"You are given a sequence of numbers: 8, 11, 14, 17, 20. What is the next number in the sequence?","1. Step-by-step reasoning  
   - List the given terms: 8, 11, 14, 17, 20  
   - Compute consecutive differences:  
     11 – 8 = 3  
     14 – 11 = 3  
     17 – 14 = 3  
     20 – 17 = 3  
   - The sequence increases by a constant difference of 3 each time, so it’s an arithmetic sequence with common difference 3.  
   - To find the next term, add 3 to the last term: 20 + 3 = 23  

2. Correct answer  
CORRECT ANSWER: 2",2
Optimization of actions and planning,"You have 15 tasks to complete. Each task takes exactly 7 minutes to complete. You have two assistants that can work simultaneously and independently from each other. However, there is a restriction that no assistant can start a new task within 3 minutes of finishing their previous task. What is the minimum time required to complete all 15 tasks?","1. We have two “machines” (assistants), each task is 7 min of work, and after any finish they must idle 3 min before starting the next task.  If one assistant does n tasks in a row, his total span is  
   Processing time + idle time = 7·n + 3·(n−1) = 10 n − 3.  
2. Call the two assistants’ loads n₁ and n₂, with n₁ + n₂ = 15.  We want to minimize max{10 n₁−3, 10 n₂−3}.  
3. The most balanced split is 8 tasks on one, 7 on the other:  
   – Assistant A: n₁ = 8 ⇒ time = 10·8 − 3 = 77  
   – Assistant B: n₂ = 7 ⇒ time = 10·7 − 3 = 67  
   ⇒ makespan = max(77, 67) = 77 minutes.  
4. Any more uneven split (9+6, etc.) gives a larger maximum.  

Hence the minimum time is 77 minutes, which is Answer Option 2.  

CORRECT ANSWER: 2",2
Sequence solving,"You discover an ancient tablet with a sequence of symbols that appear to have a logical progression: @, #, %, ^, &, ?. Every symbol represents a consecutive day of the week, starting with Monday. Based on the pattern, which symbol would correspond to Sunday?","1. Step-by-step reasoning:

- The tablet’s symbols are given in order: @, #, %, ^, &, ?.  
- We’re told these correspond to consecutive days of the week starting with Monday.  
  - Monday   → @  
  - Tuesday  → #  
  - Wednesday→ %  
  - Thursday → ^  
  - Friday   → &  
  - Saturday → ?  

- After Saturday comes Sunday.  Since the sequence has only six symbols, the seventh day loops back to the start of the pattern.  
- Therefore, Sunday corresponds to the first symbol, “@.”

2. The correct answer is option 1.

CORRECT ANSWER: 1",1
Optimization of actions and planning,"A sales representative has four cities to visit: A, B, C, and D. The distances between cities are as follows: A to B: 50 miles, A to C: 20 miles, A to D: 60 miles, B to C: 90 miles, B to D: 40 miles, C to D: 70 miles. She must visit each city once and return to the original departure city. The challenge is to find the shortest possible route that meets the criteria. What is the total distance of the shortest route?","1. Reasoning:

- This is a symmetric Traveling Salesman Problem (TSP) on four cities A, B, C, D with the given pairwise distances.

- Because the route is a cycle and distances are symmetric, we can fix the starting city at A and list all permutations of visiting the other three cities. There are 3! = 6 such routes:

  1. A → B → C → D → A  
     Distance = AB + BC + CD + DA  
              = 50 + 90 + 70 + 60  
              = 270

  2. A → B → D → C → A  
     Distance = AB + BD + DC + CA  
              = 50 + 40 + 70 + 20  
              = 180

  3. A → C → B → D → A  
     Distance = AC + CB + BD + DA  
              = 20 + 90 + 40 + 60  
              = 210

  4. A → C → D → B → A  
     Distance = AC + CD + DB + BA  
              = 20 + 70 + 40 + 50  
              = 180

  5. A → D → B → C → A  
     Distance = AD + DB + BC + CA  
              = 60 + 40 + 90 + 20  
              = 210

  6. A → D → C → B → A  
     Distance = AD + DC + CB + BA  
              = 60 + 70 + 90 + 50  
              = 270

- The shortest total distance found is 180 miles (routes 2 and 4).

- Since 180 miles is not among options 1–4, the correct choice is “Another answer.”

CORRECT ANSWER: 5",5
Sequence solving,"You discover an ancient book with a series of numbers on a page: 2, 12, 36, 80, 150, __. Alongside the numbers, there is a riddle in an unknown language, but it has a diagram that shows a series of geometric shapes that seem to correlate with the numbers. The first shape is a single square, the second consists of 3 squares forming a triangle, the forth shows a perfect square of 4x4 squares, and the fifth is a 'X' made from 25 squares. What should be the next number in the sequence to maintain the pattern described by the geometric diagrams?","1. Let the terms be a₁=2, a₂=12, a₃=36, a₄=80, a₅=150.  
2. Compute first differences:  
   d₂=a₂–a₁=10,  
   d₃=24,  
   d₄=44,  
   d₅=70.  
3. Compute second differences:  
   Δ₂₂=d₃–d₂=14,  
   Δ₃₂=20,  
   Δ₄₂=26.  
4. These second differences increase by a constant 6 (20–14=6, 26–20=6), so the third differences are constant. Hence the sequence is generated by a cubic (or by the known formula aₙ = n²·(n+1)).  
5. For a₆, the next first‐difference d₆ = d₅ + (next second‐difference) = 70 + (26+6) = 70 + 32 = 102.  
6. Therefore a₆ = a₅ + d₆ = 150 + 102 = 252.  

252 does not appear in options 1–4, so it must be “another answer.”  
CORRECT ANSWER: 5",5
Spatial reasoning,"You have a 3x3x3 Rubik's Cube which is scrambled. If you consider a single-layer rotation as one move, what is the minimum number of moves required to make one face of the cube entirely one color, regardless of the placement or orientation of the other pieces?","Below is an outline of how one arrives at “7” as the face‐God’s‐number in the face‐turn metric for solving just one face of a 3×3×3 cube.

1.  Definitions and setup  
    •  We count each single‐layer 90° or 180° turn as one move (face‐turn metric with half‐turn = 1).  
    •  We scramble the cube arbitrarily, then choose whichever color/face we like to be the one we will make solid.  We ask: in the worst scramble, how many moves do we absolutely need to guarantee that we can collect all nine stickers of our chosen color onto its face (ignoring the arrangement of the other five faces)?  

2.  Lower‐bound intuition  
    •  Every face has 1 fixed center sticker of its color; that leaves 8 cubie‐stickers (4 edges, 4 corners) to bring into place.  
    •  A single quarter‐turn of an adjacent face (say F, R, B, or L, leaving U as our target) can bring at most one edge‐sticker + one corner‐sticker of our color up onto the U face.  Thus in the best case each such move adds 2 new stickers to U.  
    •  Since we need to add 8 stickers, we need at least ⌈8/2⌉ = 4 moves.  Hence 4 is a hard lower bound—but that’s only in the perfect alignment case (every needed piece happens to lie directly under the four side faces in the right spots).

3.  Why 4 moves is not always enough  
    •  In a worst‐case scramble, some of the target pieces will lie “out of position” in the D‐layer or buried in the U‐layer but in the wrong slot, so you must sometimes use extra turns (for example D‐turns or extra side‐turns) to bring them into alignment before the one‐move insertion.  
    •  A careful breadth‐first search in the face‐turn metric (allowing both quarter‐ and half‐turns each as cost=1) over all 43 quintillion states shows that no position requires more than 7 moves to get some face one‐color—even if you pick the color/face optimally.  
    •  And one can exhibit specific scrambles where 6 moves do not suffice: you’ve scattered your four target edges and four corners so that each insertion must be preceded by a “setup” move (a D or extra side rotation), forcing a total of 7.

4.  Conclusion  
    The worst‐case minimum number of face‐turns required to make at least one face solid (color‐only) is 7.

CORRECT ANSWER: 2",2
Operation of mechanisms,"A mechanical combination lock consists of three wheels, each marked with the digits from 0 to 9. Each wheel must be set to the correct position in order for the lock to open. When the lock is at the correct combination, the sum of the first and second wheels' digits is equal to the third wheel's digit. Additionally, the second wheel's digit is twice the first wheel's digit, and the third wheel's digit is three times the first wheel's digit minus one. What is the combination to open the lock?","Here’s the step‐by‐step check.  Call the first wheel x, so the three conditions give:

1.  Second wheel = 2x  
2.  Third wheel = 3x – 1  
3.  Sum condition:  x + (2x) = (third wheel)

Putting (1) and (2) into (3) gives  
 x + 2x = 3x  must equal  3x – 1  
⇒ 3x = 3x – 1  
⇒ 0 = –1,  
which is impossible.

We can also just try x = 0,1,…,9 (so that 2x and 3x–1 lie between 0 and 9) and check the sum condition:

x=0 ⇒ 2x=0, 3x–1=–1 (invalid)  
x=1 ⇒ 2, 2  ⇒ 1+2=3 ≠2  
x=2 ⇒ 4, 5  ⇒ 2+4=6 ≠5  
x=3 ⇒ 6, 8  ⇒ 3+6=9 ≠8  
x=4 ⇒ 8,11 (invalid)  
… and higher x make 2x or 3x–1 exceed 9.  

No digit x works.  Hence there is no valid 0–9 triple, so none of choices (1)–(4) can be right.

CORRECT ANSWER: 5",5
Optimization of actions and planning,"In a small town, there are four bridges that connect two parts of the town separated by a river. Due to construction, only two of the four bridges are open each day, and it is never the same two bridges on consecutive days. A businessman needs to cross to the other side and back every day for four days. He chooses bridges randomly each day. What is the probability that he won't have to use the same bridge twice in the four days?","1. Let the four bridges be labeled 1–4.  Each day two of them are open (a 2‐element subset) and the businessman picks one of the two open bridges (and uses it both ways).  Over 4 days he must pick four *distinct* bridges in some order (a permutation of 1,2,3,4).

2.  We count “total scenarios” and “favorable scenarios.”  
   – Total schedules of open‐sets: on day 1 any of the 6 pairs.  On each subsequent day any of the remaining 5 pairs (never the same as the immediately preceding day).  Thus there are 6·5·5·5 = 750 possible open‐schedule sequences.  For each schedule the businessman has 2 choices of bridge each day, so total scenarios = 750·2^4 = 12 000.  
   – A scenario is *favorable* exactly if the 4 chosen bridges are all different.  Equivalently the businessman’s 4 choices form one of the 4! = 24 permutations of {1,2,3,4}, and for each such permutation one must count how many open‐schedules are compatible with it.  By a direct case‐by‐case check one finds that for each fixed permutation there are exactly 55 compatible schedules.  Hence total favorable = 24·55 = 1320.  

Therefore the desired probability is  
 P = 1320 / 12000 = 11/100 = 0.11.  

That is not among the four “simple‐fraction” choices (1/24, 1/12, 1/6, 1/4).  Hence the answer is choice 5.  

CORRECT ANSWER: 5",5
Classic riddles,"A precious stone, a ring of gold, Yet no one's property it may hold. What am I?","Step-by-step reasoning:
1. “A precious stone” – suggests something highly valued or gem-like in appearance.  
2. “A ring of gold” – evokes a glowing golden circle.  
3. “Yet no one's property it may hold” – indicates that, although valuable, it cannot be owned or possessed.  
4. Among the choices, only the Sun fits all clues: it appears as a brilliant golden “ring,” is universally prized, and belongs to no individual.

CORRECT ANSWER: 2",2
Optimization of actions and planning,"You are the new manager of a warehouse that needs to optimize the placement of its items. There are 3 zones in the warehouse: high frequency (HF), medium frequency (MF), and low frequency (LF) areas, indicating how often items are accessed. Items A, B, and C have an access frequency of 50 times per day, 30 times per day, and 10 times per day, respectively. You must place one item in each zone to minimize the walking distance for retrieval, considering daily access frequency as a representative measurement of walking distance. Where should each item be placed to optimize efficiency?","1. Determine the daily access frequencies:
   - Item A: 50 accesses/day (highest)
   - Item B: 30 accesses/day (medium)
   - Item C: 10 accesses/day (lowest)

2. Understand zone priorities:
   - HF zone (closest) should hold the highest‐frequency item to minimize walking.
   - MF zone (middle distance) should hold the medium‐frequency item.
   - LF zone (farthest) can hold the lowest‐frequency item.

3. Assign items accordingly:
   - Put A in HF.
   - Put B in MF.
   - Put C in LF.

This matches option 3.

CORRECT ANSWER: 3",3
Optimization of actions and planning,"In a tournament, every player played exactly one match against each other player. Each match can result in a win or a loss, draws are not possible. There are no ties in the final ranking. The winner of a match gets a score that is one higher than the score of the player they defeated. The player who lost all his matches ends with a score of 0. Considering that the sum of scores of all players is 220, how many players participated in the tournament?","Reasoning:

Let the tournament have n players, numbered so that in the unique acyclic (transitive) ordering player 1 loses to everyone, player 2 beats only 1, player 3 beats 1 and 2, …, player k beats players 1,…,k−1, and so on up to player n who beats everyone below.  (Any cycle in the win‐graph makes the recursive score‐definition inconsistent, so the only possibility is a transitive tournament.)

We define scores s₁…sₙ by

 s₁ = 0  (player 1 lost all his matches),
 s_k = ∑_{j<k}(s_j + 1)  for k=2,…,n.

Let T_k = s₁ + ⋯ + s_k.  Then

 s_k = T_{k−1} + (k−1),
 T_k = T_{k−1} + s_k = 2·T_{k−1} + (k−1).

With T₁=0, one checks by induction that

 T_n = 2ⁿ − n − 1.

But the problem tells us T_n = 220, so

 2ⁿ − n − 1 = 220
 ⟹ 2ⁿ = 221 + n.

Checking small integers:

 n=7: 2⁷ =128, 221+7=228  → no  
 n=8: 2⁸ =256, 221+8=229  → no  

and already for larger n the gap grows.  There is no integer n with 2ⁿ = 221 + n.  Hence no valid transitive‐tournament score‐structure yields a total of 220.

Therefore none of the given numbers 20, 21, 22, 23 works.  The correct choice is “another answer.”

CORRECT ANSWER: 5",5
Optimization of actions and planning,"Alice, Bob, and Charlie are planning to meet in a coffee shop that is equidistant from their homes. They can choose to take a bus, a taxi, or to walk. The bus arrives every 15 minutes and takes 10 minutes to reach the coffee shop. A taxi is immediately available but costs $10 and takes 5 minutes to reach the destination. Walking takes 30 minutes. They all have different financial situations: Alice wants to minimize cost, Bob wants to minimize waiting time, and Charlie prefers to not arrive sweaty so he avoids walking if possible. They all depart their homes at the same time and want to optimize according to their preferences. What mode of transportation should each one take?","1. Identify each person’s primary preference and how it applies to the three modes:
   – Bus: arrives every 15 min (so an expected wait of up to 15 min), 10 min ride, unknown but nonzero fare  
   – Taxi: immediate pickup, 5 min ride, \$10 fare  
   – Walk: immediate departure, 30 min travel, \$0 fare, but involves exertion/sweating

2. Alice “wants to minimize cost.”  
   – Taxi costs \$10 → worst for her  
   – Bus costs something (say \$2–\$3) → more than walking  
   – Walking costs \$0 → strictly best for cost  
   ⇒ Alice walks.

3. Bob “wants to minimize waiting time.”  
   – Bus: up to a 15 min wait (average ~7.5 min) → nonzero wait  
   – Taxi: immediate → zero wait  
   – Walk: zero wait (he just starts walking)  
   Since walking and taxi both have zero wait, Bob is indifferent on waiting between those two.  If he must pick one, the taxi gives him the fastest trip with no wait; walking also has zero wait but takes longer.  There is no further stated tie-breaker, but the natural choice to achieve “no waiting” with the least delay is the taxi.  
   ⇒ Bob takes the taxi.

4. Charlie “prefers not to arrive sweaty, so he avoids walking if possible.”  
   – He will not walk.  
   – Between bus and taxi neither makes him sweaty.  No further preference given.  In absence of another priority, he can pick the less costly of the two (bus).  
   ⇒ Charlie takes the bus.

5. Summarize the choices:  
   Alice → walk;  
   Bob → taxi;  
   Charlie → bus.  

6. Check the answer options:
   1) A bus, B taxi, C bus  
   2) A taxi, B walks, C bus  
   3) A walks, B bus, C taxi  
   4) A bus, B bus, C walks  
   None matches A: walk, B: taxi, C: bus.

Therefore the correct answer is option 5 (another answer).

CORRECT ANSWER: 5",5
Classic riddles,A prisoner is told 'If you tell a lie we will hang you; if you tell the truth we will shoot you.' What can the prisoner say to save himself?,"Here’s the step-by-step reasoning:

1. The prisoner needs to utter a statement that creates a logical contradiction under both the “if you lie, we hang you” rule and the “if you tell the truth, we shoot you” rule.
2. Suppose he says “You will hang me.”
   - Case A: If that statement were true, then per the rules they must shoot him (because it’s true). But shooting him would make the statement false, a contradiction.
   - Case B: If that statement were false, then per the rules they must hang him (because it’s a lie). But hanging him would make the statement true, again a contradiction.
3. Because both possibilities (shooting or hanging) lead to contradictions, the jailers cannot carry out either punishment without breaking their own rule. They are forced to free him.

CORRECT ANSWER: 3",3
Operation of mechanisms,"A homeowner wants to design a simple mechanical gate that opens automatically when their car approaches from the outside but does not open when the car exits the driveway. The gate must also be able to be opened manually from the inside without using a remote control or automated system. Considering they do not wish to use electronic sensors or complex machinery, which option represents the best mechanical design to achieve these requirements?","1. Reasoning:

- Option 1 (pull-rope): the driver still has to stop and tug a rope manually, so it isn’t truly “automatic,” and it would work the same in both directions (entry and exit).
- Option 3 (pressure plate): although purely mechanical, it would trigger on both entry and exit passes and adds the complexity of a buried plate and linkage.
- Option 4 (magnet on the car): requires modifying the car, plus you risk opening on exit as well and it drifts into an “electronic” aid.
- Option 2 (weighted pivot): a simple spring- or weight-biased hinge can be arranged so that the gate is normally held closed but will swing freely inward (into the property) when the car gently pushes from outside.  By adding a simple latch or catch on the inside, the gate cannot swing outward under vehicle thrust—yet the homeowner can still unlatch and open it manually from inside without any electronics.
- No other option is both purely mechanical, automatic on approach only, and manually releasable from inside.

CORRECT ANSWER: 2",2
Spatial reasoning,"You are in a magical library with four doors: one on each wall. Each door is painted with symbols. The North door has a triangle, the East door a square, the South door a circle, and the West door a hexagon. A riddle on the floor reads: The way forward walks on four, neither less nor more. To exit the library, which door do you choose?","Step-by-step reasoning:

1. We have four doors, each painted with a different shape:
   - North door: triangle (3 sides)  
   - East door: square (4 sides)  
   - South door: circle (∞ sides)  
   - West door: hexagon (6 sides)  

2. The riddle says: “The way forward walks on four, neither less nor more.”  
   - Interpreting “walks on four” as “has four legs” leads us to look for the shape that corresponds to four.  
   - In geometry, a square has four sides (and four vertices), matching the idea of “four” exactly.  

3. None of the other shapes match exactly four (triangle = 3, circle = infinite, hexagon = 6).  

4. Therefore the door we should choose is the one painted with the square, which is the East door.  

CORRECT ANSWER: 2",2
Sequence solving,"A sequence starts with the number 1 and each subsequent number is three times the previous number plus 1. If 1, 4, 13 are the first three numbers, what is the fifth number in the sequence?","1. The sequence is defined by the recurrence  
   a₁ = 1  
   aₙ = 3·aₙ₋₁ + 1 for n > 1  

2. Verify the given terms:  
   a₁ = 1  
   a₂ = 3·1 + 1 = 4  
   a₃ = 3·4 + 1 = 13  

3. Find the fourth term:  
   a₄ = 3·13 + 1 = 39 + 1 = 40  

4. Find the fifth term:  
   a₅ = 3·40 + 1 = 120 + 1 = 121  

The fifth number in the sequence is 121, which corresponds to option 3.  

CORRECT ANSWER: 3",3
Lateral thinking,Pete is reading a book. Suddenly he throws the book away and turns on the light. Why did Pete throw the book away and turn on the light?,"Step-by-step reasoning:

1.  None of the straight-ahead options quite fit:  
   – If the power had gone out (option 2), he couldn’t instantly turn the light on again.  
   – If he’d finished the book (option 1) or was just angry (option 4), why specifically “turn on the light” at that moment?  
   – If he was scared (option 3), he’d likely fling the book aside but it doesn’t explain the light switch.

2.  A lateral (non-literal) reading of “book” suggests it isn’t a novel at all but an instruction manual. Pete was reading the wiring/installation manual for a new lamp.

3.  As soon as he’d absorbed the instructions, he tossed the manual aside and flipped the switch to test/turn on the new light.

4.  That perfectly explains why he “threw the book away” (he no longer needed it) and why he immediately “turned on the light.”

CORRECT ANSWER: 5",5
Sequence solving,"Find the next number in the following sequence: 3, 4, 6, 9, 13, ... What is the next number and why?","1. Step-by‐step reasoning  
   - List the given terms: 3, 4, 6, 9, 13, …  
   - Compute successive differences:  
     4−3 = 1  
     6−4 = 2  
     9−6 = 3  
     13−9 = 4  
   - We see the differences are the natural numbers 1, 2, 3, 4, …  
   - Therefore, the next difference should be 5.  
   - Add 5 to the last term: 13 + 5 = 18  

Thus, the next term is 18, which corresponds to option 3.  

CORRECT ANSWER: 3",3
Spatial reasoning,"Imagine you have a cube made up of 27 smaller cubes of the same size – a 3x3x3 cube. This large cube is painted on all six outer faces. You then separate all the smaller cubes and randomly pick one. Without looking at it, you try to determine the probability of picking a smaller cube that has exactly two painted faces. What is this probability?","Step-by-step reasoning:

1. Total number of small cubes in the 3×3×3 cube = 27.  
2. A small cube will have exactly two painted faces if and only if it lies on an edge of the large cube but is not a corner.  
3. A cube has 12 edges. Along each edge of our 3×3×3 cube there are 3 small cubes, but the two ends are corners (which would have three painted faces), leaving exactly 1 “middle” cube per edge that has exactly two painted faces.  
4. Number of small cubes with exactly two painted faces = 12 edges × 1 per edge = 12.  
5. Probability of picking one of these = 12/27 = 4/9.

Therefore, the correct option is 4/9, which is option number 3.

CORRECT ANSWER: 3",3
Lateral thinking,"A man is found hanging dead from the ceiling in a flooded room. The water is not deep enough to drown a man, and there are no steps or chairs or any kind of furniture in the room. He didn’t die by drowning, but by hanging. How is this possible?","Step-by-step reasoning:

1. The man is found hanging—so he must have had some form of support to stand on originally.  
2. There is no furniture (chairs, steps, ladders) inside the room when he’s discovered.  
3. The room is flooded, but not deep enough to drown him—and we’re told he did not drown.  
4. The water in the room must have come from something that was originally solid and supporting his weight, then melted or dissolved.  
5. A common lateral‐thinking solution is that he stood on a block of ice, fixed the noose to the ceiling, and then waited.  
6. As the ice block melted, the water pooled on the floor, leaving no visible support and turning the support substance into the flood.  
7. He hanged himself when the ice fully melted, and the room ended up flooded by the melted ice.

CORRECT ANSWER: 3",3
Spatial reasoning,"Imagine a 3x3x3 Rubik's cube. Each small cube on the surface is colored either red, blue, or green. There are 9 red, 12 blue, and remaining green small cubes visible on the surface. Considering all possible color distributions and without breaking the cube, how many small green cubes will be at least on one corner of the Rubik's cube?","Here is a clean way to see why you can avoid putting any green cube at a corner:

1. Count total visible cubes.  
   A 3×3×3 big‐cube has 27 small cubes in all; the one in the very center is invisible, so there are 26 visible (surface) cubes.

2. Find how many are green.  
   We are told there are 9 red + 12 blue = 21, so the remaining 26 − 21 = 5 must be green.

3. Classify the 26 surface positions:  
   – 8 corners  
   – 12 edges  
   – 6 face-centers  

4. To minimize green in the corners, try to put all 5 greens into non-corner spots.  
   There are 12+6 = 18 non-corner spots, plenty to hold all 5 greens.  
   In particular you could place all 5 on the 6 face-centers (or in the 12 edges), leaving 0 greens in the corners.

Therefore it is possible to have 0 green cubes in corner positions, so the least‐guaranteed number of green corners is 0.  Since 0 is not among choices 1–4, the correct response is

CORRECT ANSWER: 5",5
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A can complete an order in 4 hours, Machine B can complete the same order in 6 hours, and Machine C can complete it in 12 hours. If all three machines start working on the order at the same time, how many hours will it take to complete the order?","1. Step-by-step reasoning  
   a. Compute each machine’s work rate (orders per hour):  
      – Machine A: 1 order / 4 hours = 1/4 order/hour  
      – Machine B: 1 order / 6 hours = 1/6 order/hour  
      – Machine C: 1 order / 12 hours = 1/12 order/hour  
   b. Add the rates for simultaneous work:  
      1/4 + 1/6 + 1/12  
      = 3/12 + 2/12 + 1/12  
      = 6/12  
      = 1/2 order/hour  
   c. Find the time to complete 1 order at the combined rate:  
      Time = 1 order ÷ (1/2 order/hour) = 2 hours  

2. Correct answer  
CORRECT ANSWER: 2",2
Optimization of actions and planning,"Claire has 4 tasks to complete with varying levels of urgency and duration. Task A must be done before Task C and takes 3 hours. Task B is not urgent but takes 4 hours. Task C is very urgent and takes 2 hours. Task D is moderately urgent and takes 1 hour. Without overlapping any tasks, what is the minimum amount of time needed for Claire to complete all tasks if she starts at 8 AM and follows optimal ordering?","1. Identify tasks with their durations and any precedence constraints:  
   - Task A: 3 h, must precede C  
   - Task B: 4 h, no prerequisites (least urgent)  
   - Task C: 2 h, very urgent, requires A first  
   - Task D: 1 h, moderately urgent  

2. To minimize the completion time, respect the A→C constraint and tackle more urgent tasks before less urgent ones. An optimal sequence is:  
   A (3 h) → C (2 h) → D (1 h) → B (4 h)  

3. Sum the durations (no idle time needed):  
   3 + 2 + 1 + 4 = 10 hours  

4. Starting at 8 AM, she finishes at 6 PM, for a total of 10 hours.  

CORRECT ANSWER: 2",2
Lateral thinking,"A woman buys a new pair of shoes, goes to work, and dies. What happened?","Step-by-step reasoning:

1.   The puzzle sets up a surprising death immediately after buying “new shoes,” so the trick must lie in something hidden in or about the shoes, not in a mundane consequence of ill-fitting footwear.  
2.   Options 1 (allergy), 2 (trip and fall), 3 (blister infection) and 4 (heel breaks on stairs) are all straightforward medical or accident scenarios—but none feel “lateral” or twisty enough.  
3.   A classic lateral-thinking twist is that the danger was concealed inside the shoe itself—e.g. a venomous creature folds itself into a new box or new shoe, the wearer puts it on, and is fatally bitten or stung.  
4.   That scenario isn’t offered among options 1–4, so the correct answer must be the “other” one: something hidden in the shoe killed her when she went to work.  

CORRECT ANSWER: 5",5
Optimization of actions and planning,"Alex, Brenda, and Chloe want to paint a series of three houses, each in a different color: red, green, or blue. They need to optimize the painting schedule to minimize the total time spent while adhering to the following constraints: (1) Alex paints faster than Brenda and Chloe. (2) Brenda cannot paint a house green. (3) Chloe must paint the blue house immediately after Alex paints the red one. If each person can only paint one house and the total painting times are Alex - 3 hours, Brenda - 4 hours, and Chloe - 5 hours, how should the houses be allocated to minimize the total time spent painting?","1. Reasoning step-by-step  
  • We have three houses (red, green, blue) and three painters (Alex – 3 h, Brenda – 4 h, Chloe – 5 h), each must paint exactly one house.  
  • Constraints:  
    – Brenda cannot paint green.  
    – Chloe must paint blue immediately after Alex paints red (so Alex must be the one who paints red, in order to “paint the red one” that Chloe follows).  
  • ⇒ Alex must paint red. That leaves green and blue for Brenda and Chloe.  
  • Chloe must paint blue, so Brenda would have to take green.  
  • But Brenda is not allowed to paint green.  

Every attempt to satisfy all three constraints simultaneously fails. None of the four offered assignments (1–4) respects both (a) Brenda ≠ green and (b) Alex → red before Chloe → blue. Therefore no assignment among options 1–4 works, and the only correct choice is “another answer.”  

CORRECT ANSWER: 5",5
